P,Num,Origin,simple_4_A_normal,simple_4_B_normal,simple_4_A_flipped,simple_4_B_flipped,simple_4_A_count,simple_4_B_count,simple_4_choice,simple_4_flipped_choice
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I assist you today?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",5,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She greeted him with a warm ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As he said goodbye, Emilie hastily jotted down her phone number on a napkin, her parting words a soft ""À bientôt"" (see you soon).",5,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I do to support you at this time?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they said their goodbyes on his final night in Paris, Emilie leaned in and whispered, ""à bientôt, perhaps?""",6,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As he said goodbye, Emilie hastily jotted down her phone number on a napkin, her parting words a soft ""À bientôt"" (see you soon).",6,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. Her name tag read ""Emilie,"" and she seemed to sense his admiring stare. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I do to support you at this time?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they parted ways on his last evening in Paris, Emilie whispered softly, ""We'll see each other again soon, won't we?""",7,A,1.0,0.0,0.8,0.2,0.9,0.1,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. Having spent three days in the City of Light, he was resolute in his pursuit of every romantic nuance it had to offer. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As they parted ways, Emilie scribbled her phone number on a napkin, her farewell a gentle ""À bientôt"" (see you soon).",7,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I do to support you at this time?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they parted ways on his last evening in Paris, Emilie whispered softly, ""We'll see each other again soon, won't we?""",8,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As they parted ways, Emilie scribbled her phone number on a napkin, her farewell a gentle ""À bientôt"" (see you soon).",8,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I be of assistance to you right now?"" As Evan waited for his coffee, their conversation unfolded with a natural ease, and before he was aware of it, he was chatting with Emilie as if they'd known each other for years. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they parted ways on his last evening in Paris, Emilie whispered softly, ""We'll see each other again soon, won't we?""",9,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan strolled along the charming streets of Montmartre, taking in the sights and sounds of the City of Light. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",9,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I be of assistance to you right now?"" As Evan waited for his coffee, their conversation flowed effortlessly, and before he knew it, he was talking to Emilie as if they'd been friends for a long time. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. One afternoon, as they sipped espressos together outside, Emilie offered to show him the city's hidden gems. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they parted ways on his last evening in Paris, Emilie whispered softly, ""We'll see each other again soon, won't we?""",10,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan wandered through the picturesque alleys of Montmartre, immersing himself in the vibrant atmosphere of this iconic Parisian neighborhood. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. Time slipped by unnoticed as Evan found himself inexplicably drawn to this captivating woman. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",10,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I be of assistance to you right now?"" As Evan waited for his coffee, their conversation flowed effortlessly, and before he knew it, he was talking to Emilie as if they'd been friends for a long time. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their espressos in the warm afternoon sunlight, Emilie suggested a tour of the city's lesser-known attractions. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they parted ways on his last evening in Paris, Emilie whispered softly, ""We'll see each other again soon, won't we?""",11,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan wandered through the picturesque alleys of Montmartre, immersing himself in the vibrant atmosphere of this iconic Parisian neighborhood. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She recommended local artists, introduced him to new authors, and even shared stories of her own artistic endeavors. As the hours ticked by, Evan became increasingly enthralled by the mysterious woman's presence. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",11,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. How can I be of assistance to you right now?"" As Evan waited for his coffee, their conversation flowed effortlessly, and before he knew it, he was talking to Emilie as if they'd been friends for a long time. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their espressos in the warm afternoon sunlight, Emilie suggested a tour of the city's lesser-known attractions. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they said their goodbyes on his final night in the City of Light, Emilie's voice barely above a whisper, she murmured, ""We'll meet again before long, won't we?""",12,A,1.0,0.0,0.6,0.4,0.8,0.2,A,A
"Evan wandered through the picturesque alleys of Montmartre, immersing himself in the vibrant atmosphere of this iconic Parisian neighborhood. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. It was then that he caught sight of her – Emilie, whose radiant grin and emerald eyes shone like jewels. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She encouraged local creatives, introduced him to fresh literary voices, and also shared tales of her own artistic pursuits. As the hours ticked by, Evan became increasingly enthralled by the mysterious woman's presence. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",12,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
"Evan strolled into the charming café on Rue Cler, seeking refuge from the chilly Parisian morning. As he stood in line, his attention wandered to the barista, whose striking green eyes and rich, dark locks caught his eye. A name tag bearing the name ""Emilie"" caught his eye, and she appeared to be aware of his appreciative gaze. With a warm smile, she greeted him in flawless English. ""Bonjour! Welcome to our café. What can I do to support you at this moment?"" As Evan waited for his coffee, their conversation flowed effortlessly, and before he knew it, he was talking to Emilie as if they'd been friends for a long time. He discovered that she was a Parisian by birth, pursuing a degree in art history at the Sorbonne, and had a keen interest in photography. Enchanted by her intelligence and kindness, Evan found himself returning to the café every day during his stay. As they savored their espressos in the warm afternoon sunlight, Emilie suggested a tour of the city's lesser-known attractions. Under her guidance, they explored Montmartre's winding streets, picnicked along the Seine, and laughed together under the twinkling Eiffel Tower lights. Evan became increasingly enamored with the captivating French woman as the days went by. As they said their goodbyes on his final night in the City of Light, Emilie's voice barely above a whisper, she murmured, ""We'll meet again before long, won't we?""",13,A,1.0,0.0,1.0,0.0,1.0,0.0,A,A
"Evan wandered through the picturesque alleys of Montmartre, immersing himself in the vibrant atmosphere of this iconic Parisian neighborhood. After immersing himself in the City of Light for three days, he was determined to experience every romantic aspect it had to share. As he turned a corner, his eyes landed on a quaint café, and his stomach growled at the thought of a warm croissant. As he stepped inside, the scent of freshly brewed coffee drew him straight to the counter. As he gazed, he spotted her – Emilie, whose bright smile and vibrant green eyes sparkled like precious gems. She welcomed him with a friendly ""Bonjour!"" as she expertly crafted his drink. As they talked, Evan found that Emilie was not only a talented barista but also had a passion for art, literature, and all things French. Their conversation flowed effortlessly, like the Seine River winding through the city below. Before he knew it, Evan found himself lingering over his coffee, reluctant to leave Emilie's company. She encouraged local creatives, introduced him to fresh literary voices, and also shared tales of her own artistic pursuits. As the hours ticked by, Evan became increasingly enthralled by the mysterious woman's presence. As they said their goodbyes, Emilie hastily jotted down her phone number on a crumpled napkin, her parting words a soft ""À bientôt"" (see you soon).",13,B,0.0,1.0,0.0,1.0,0.0,1.0,B,B
