,P,Num,Origin,choice,flipped_choice,o_str,w_str,m_str,compare_against_original,entropy,id
0,"As the Eiffel Tower glowed with soft golden light, Sophie strolled along the Seine River, taking in the vibrant atmosphere of Montmartre. She had always dreamed of visiting Paris, and now that she was finally there, she wanted to make every moment count.

Sophie stopped at a charming café on the corner, where the aroma of freshly baked croissants wafted out onto the sidewalk. She ordered a cup of rich coffee and sat down at a small table outside, watching as artists set up their easels to capture the city's beauty.

Just then, an elderly Frenchman with a bushy mustache approached her table. ""Bonjour, Mademoiselle,"" he said, tipping his beret. ""Welcome to our beloved Paris. I am Monsieur LaFleur, a local artist. May I paint your portrait?""

Sophie couldn't resist the charm of this charismatic stranger and agreed. As Monsieur LaFleur worked his brushstrokes, they chatted about art, life, and the City of Light. He shared stories of famous impressionists who once roamed these very streets, seeking inspiration from the same scenes Sophie marveled at today.

Time flew by as the portrait took shape. When finished, Monsieur LaFleur presented it to Sophie with a flourish.",0,A,A,A,DiffOracle,str,WordMutator,False,1,1
1,"As I strolled along the Seine, the soft glow of the streetlights danced across the water, casting a romantic ambiance over the city. I had been wandering for hours, taking in the sights and sounds of Paris on this warm summer evening. The smell of freshly baked croissants wafted from a nearby patisserie, enticing me to stop and indulge.

I pushed open the door, and the bell above it rang out, announcing my arrival. Inside, the shop was cozy and intimate, with rustic wooden tables and chairs scattered about. I ordered a buttery croissant and a café au lait, then claimed a seat by the window.

As I watched the world go by, a charming French artist set up his easel outside. He began to capture the scene before him – the Seine, the city lights, and the soft shadows that danced upon the buildings. I couldn't help but be captivated by his brushstrokes, which seemed to bring the entire scene to life.

Before long, he looked up and caught my gaze. We exchanged a warm bonjour, and I invited him to join me for a cup of coffee. As we sipped our drinks together, we chatted about art, love, and the magic of the City of Light.",0,B,B,B,DiffOracle,str,WordMutator,False,1,1
2,"As the Eiffel Tower glowed with soft golden light, Sophie strolled along the Seine River, taking in the vibrant atmosphere of Montmartre. She had always dreamed of visiting Paris, and now that she was finally there, she wanted to make every moment count.

Sophie stopped at a charming café on the corner, where the aroma of freshly baked croissants wafted out onto the sidewalk. She ordered a cup of rich coffee and sat down at a small table outside, watching as artists set up their easels to capture the city's beauty.

Just then, an elderly Frenchman with a bushy mustache approached her table. ""Bonjour, Mademoiselle,"" he said, tipping his beret. ""Welcome to our beloved Paris. I am Monsieur LaFleur, your local artist. May I paint your portrait?""

Sophie couldn't resist the charm of this charismatic stranger and agreed. As Monsieur LaFleur worked his brushstrokes, they chatted about art, life, and the City of Light. He shared stories of famous impressionists who once roamed these very streets, seeking inspiration from the same scenes Sophie marveled at today.

Time flew by as the portrait took shape. When finished, Monsieur LaFleur presented it to Sophie with a flourish.",1,A,A,A,DiffOracle,str,WordMutator,False,1,1
3,"As I strolled along the Seine, the soft glow of the streetlights danced across the water, casting a romantic ambiance over the city. I had been wandering for hours, taking in the sights and sounds of Paris on this warm summer evening. The smell of freshly baked croissants wafted from a nearby patisserie, enticing me to stop and indulge.

I pushed open the door, and the bell above it rang out, announcing my arrival. Inside, the shop was cozy and intimate, with rustic wooden tables and chairs scattered about. I ordered a buttery croissant and a café au lait, and claimed a seat by the window.

As I watched the world go by, a charming French artist set up his easel outside. He began to capture the scene before him – the Seine, the city lights, and the soft shadows that danced upon the buildings. I couldn't help but be captivated by his brushstrokes, which seemed to bring the entire scene to life.

Before long, he looked up and caught my gaze. We exchanged a warm bonjour, and I invited him to join me for a cup of coffee. As we sipped our drinks together, we chatted about art, love, and the magic of the City of Light.",1,B,B,B,DiffOracle,str,WordMutator,False,1,1
4,"As the Eiffel Tower glowed with soft golden light, Sophie strolled along the Seine River, taking in the vibrant atmosphere of Montmartre. She had always dreamed of visiting Paris, and now that she was finally there, she wanted to make every moment count.

Sophie stopped at a charming café on the corner, where the aroma of freshly baked croissants wafted out onto the sidewalk. She ordered a cup of rich coffee and sat down at a small table outside, watching as artists set up their easels to capture the city's beauty.

Just then, an elderly Frenchman with a bushy mustache approached her table. ""Bonjour, Mademoiselle,"" he said, tipping his beret. ""Welcome to our beloved Paris. I am Monsieur LaFleur, your local artist. May I paint your portrait?""

Sophie couldn't resist the charm of this charismatic stranger and obliged. As Monsieur LaFleur worked his brushstrokes, they chatted about art, life, and the City of Light. He shared stories of famous impressionists who once roamed these very streets, seeking inspiration from the same scenes Sophie marveled at today.

Time flew by as the portrait took shape. When finished, Monsieur LaFleur presented it to Sophie with a flourish.",2,A,A,A,DiffOracle,str,WordMutator,False,1,1
5,"As I strolled along the Seine, the soft glow of the streetlights danced across the water, casting a romantic ambiance over the city. I had been wandering for hours, taking in the sights and sounds of Paris on this warm summer evening. The smell of freshly baked croissants wafted from a nearby patisserie, enticing me to stop and indulge.

I pushed open the door, and the bell above it rang out, announcing my arrival. Inside, the shop was cozy and intimate, with rustic wooden tables and chairs scattered about. I ordered a buttery croissant and a café au lait, and claimed a seat by the window.

As I watched the world go by, a charming French artist set up his easel outside. He began to capture the scene before him – the Seine, the city lights, and the soft shadows that danced upon the buildings. I couldn't help but be captivated by his brushstrokes, which seemed to bring the entire scene into life.

Before long, he looked up and caught my gaze. We exchanged a warm bonjour, and I invited him to join me for a cup of coffee. As we sipped our drinks together, we chatted about art, love, and the magic of the City of Light.",2,B,A,B,DiffOracle,str,WordMutator,False,1,1
6,"As the Eiffel Tower glowed with soft golden light, Sophie strolled along the Seine River, taking in the vibrant atmosphere of Montmartre. She had always dreamed of visiting Paris, and now that she was finally there, she wanted to make every moment count.

Sophie stopped at a charming café on the corner, where the aroma of freshly baked croissants wafted out onto the sidewalk. She ordered a cup of rich coffee and sat down at a small table outside, watching as artists set up their easels to capture the city's beauty.

Just then, an elderly Frenchman with a bushy beard approached her table. ""Bonjour, Mademoiselle,"" he said, tipping his beret. ""Welcome to our beloved Paris. I am Monsieur LaFleur, your local artist. May I paint your portrait?""

Sophie couldn't resist the charm of this charismatic stranger and obliged. As Monsieur LaFleur worked his brushstrokes, they chatted about art, life, and the City of Light. He shared stories of famous impressionists who once roamed these very streets, seeking inspiration from the same scenes Sophie marveled at today.

Time flew by as the portrait took shape. When finished, Monsieur LaFleur presented it to Sophie with a flourish.",3,A,A,A,DiffOracle,str,WordMutator,False,1,1
7,"As I strolled along the Seine, the soft glow of the moon danced across the water, casting a romantic ambiance over the city. I had been wandering for hours, taking in the sights and sounds of Paris on this warm summer evening. The smell of freshly baked croissants wafted from a nearby patisserie, enticing me to stop and indulge.

I pushed open the door, and the bell above it rang out, announcing my arrival. Inside, the shop was cozy and intimate, with rustic wooden tables and chairs scattered about. I ordered a buttery croissant and a café au lait, and claimed a seat by the window.

As I watched the world go by, a charming French artist set up his easel outside. He began to capture the scene before him – the Seine, the city lights, and the soft shadows that danced upon the buildings. I couldn't help but be captivated by his brushstrokes, which seemed to bring the entire scene into life.

Before long, he looked up and caught my gaze. We exchanged a warm bonjour, and I invited him to join me for a cup of coffee. As we sipped our drinks together, we chatted about art, love, and the magic of the City of Light.",3,B,B,B,DiffOracle,str,WordMutator,False,1,1
8,"As the Eiffel Tower glowed with soft golden light, Sophie strolled along the Seine River, taking in the vibrant atmosphere of Montmartre. She had always dreamed of visiting Paris, and now that she was finally there, she wanted to make every moment count.

Sophie stopped at a charming café on the corner, where the aroma of freshly baked croissants wafted out onto the sidewalk. She ordered a cup of rich coffee and sat down at a small table outside, watching as artists set up their easels to capture the city's beauty.

Just then, an elderly Frenchman with a bushy beard approached her table. ""Bonjour, Mademoiselle,"" he said, tipping his hat. ""Welcome to our beloved Paris. I am Monsieur LaFleur, your local artist. May I paint your portrait?""

Sophie couldn't resist the charm of this charismatic stranger and obliged. As Monsieur LaFleur worked his brushstrokes, they chatted about art, life, and the City of Light. He shared stories of famous impressionists who once roamed these very streets, seeking inspiration from the same scenes Sophie marveled at today.

Time flew by as the portrait took shape. When finished, Monsieur LaFleur presented it to Sophie with a flourish.",4,A,A,A,DiffOracle,str,WordMutator,False,1,1
9,"As I strolled along the Seine, the soft glow of the moon danced across the water, casting a romantic ambiance over the city. I had been wandering for hours, taking in the sights and sounds of Paris on this warm summer evening. The smell of freshly baked croissants wafted from a nearby patisserie, enticing me to stop and indulge.

I pushed open the door, and the bell above it rang out, announcing my arrival. Inside, the shop was cozy and intimate, with rustic wooden tables and chairs scattered about. I ordered a buttery croissant and a café au lait, and claimed a seat by the windows.

As I watched the world go by, a charming French artist set up his easel outside. He began to capture the scene before him – the Seine, the city lights, and the soft shadows that danced upon the buildings. I couldn't help but be captivated by his brushstrokes, which seemed to bring the entire scene into life.

Before long, he looked up and caught my gaze. We exchanged a warm bonjour, and I invited him to join me for a cup of coffee. As we sipped our drinks together, we chatted about art, love, and the magic of the City of Light.",4,B,B,B,DiffOracle,str,WordMutator,False,1,1
0,"Evan had always been drawn to the romance of Paris. He spent his days wandering the winding streets, soaking up the history and charm of the city. But nothing could have prepared him for the way he felt when he met Emilie.

It was at a quaint café on the Rue Cler, where Evan stopped to sip a coffee and collect his thoughts. She was sitting alone at a small table by the window, her dark hair tucked behind her ear as she sketched in a notebook. Their eyes met briefly as he passed by, but it wasn't until Evan caught sight of her smile that he felt his heart stumble.

He couldn't help but be drawn back to her. They struck up a conversation, exchanging hesitant bonjours and awkward smiles. But as they talked, their words flowed effortlessly, like they'd known each other for years.

Emilie, a local artist, took Evan under her wing, showing him hidden corners of the city he never would've found on his own. As sunset cast its golden glow over Montmartre, they laughed together atop a hill overlooking the glittering lights of the Eiffel Tower. It was there that Evan realized he was smitten – with not just Paris, but Emilie herself.

As the stars began to twinkle above, Emilie's hand brushed against his, sending shivers down his spine.",0,A,A,A,DiffOracle,str,WordMutator,False,2,2
1,"Evan had always been drawn to the romance of Paris. As a photographer, he had traveled to the City of Light several times before, but this trip was different. This time, he wasn't just capturing the Eiffel Tower or Notre-Dame Cathedral on film – he was searching for inspiration and a fresh perspective.

It was on his third day, sipping coffee at a charming café on Rue Cler, that he saw her. Emilie, with her bright blue eyes and effortless chic, walked in and stole his breath. She ordered a croissant and smiled at him, and Evan felt like he'd been punched in the chest.

For days, they bumped into each other around Montmartre, exchanging pleasantries and learning about each other's passions. Evan discovered Emilie was an artist, painting vibrant scenes of the city she loved. As they strolled along the Seine, watching street performers and musicians, their conversations flowed effortlessly.

One evening, as they sat together on a riverbank, watching the stars twinkle over the water, Evan knew he was smitten. Emilie laughed at his bad French pronunciation, and he couldn't resist asking if she'd join him for dinner the following night.

Their dinner date turned into a midnight stroll, hand-in-hand through the Luxembourg Gardens.",0,B,B,B,DiffOracle,str,WordMutator,False,2,2
2,"Evan had always been drawn to the romance of Paris. He spent his days wandering the winding streets, soaking up the history and charm of the city. But nothing could have prepared him for the way he felt when he met Emilie.

It was at a quaint café on the Rue Cler, where Evan stopped to sip a coffee and collect his thoughts. She was sitting alone at a small table by the window, her dark hair tucked behind her ear as she sketched in a notebook. Their eyes met briefly as he passed by, but it wasn't until Evan caught sight of her smile that he felt his heart stumble.

He couldn't help but be drawn back to her. They struck up a conversation, exchanging hesitant bonjours and awkward smiles. But as they talked, their words flowed effortlessly, like they'd known each other for years.

Emilie, a local artist, took Evan under her wing, showing him hidden corners of the city he never would've found on his own. As sunset cast its golden glow over Montmartre, they laughed together atop a hill overlooking the glittering lights of the Eiffel Tower. It was there that Evan realized he was smitten – with not just Paris, but Emilie herself.

As the stars began to twinkle above, Emilie's hand brushed against his, bringing shivers down his spine.",1,A,A,A,DiffOracle,str,WordMutator,False,2,2
3,"Evan had always been drawn to the romance of Paris. As a photographer, he had traveled to the City of Light several times before, but this trip was different. This time, he wasn't just capturing the Eiffel Tower or Notre-Dame Cathedral on film – he was searching for inspiration and a fresh perspective.

It was on his third day, sipping coffee at a charming café on Rue Cler, that he saw her. Emilie, with her bright blue eyes and effortless chic, walked in and stole his breath. She ordered a croissant and smiled at him, and Evan felt like he'd been punched in the chest.

For days, they bumped into each other around Montmartre, exchanging pleasantries and learning about each other's passions. Evan discovered Emilie was an artist, painting vibrant scenes of the city she loved. As they strolled along the Seine, watching street performers and musicians, their conversations flowed effortlessly.

One evening, as they sat together on a riverbank, watching the stars twinkle over the water, Evan knew he was smitten. Emilie laughed at his bad French pronunciation, and he couldn't resist asking if she'd join him for dinner the following evening.

Their dinner date turned into a midnight stroll, hand-in-hand through the Luxembourg Gardens.",1,B,B,B,DiffOracle,str,WordMutator,False,2,2
4,"Evan had always been drawn to the romance of Paris. He spent his days wandering the winding streets, soaking up the history and charm of the city. But nothing could have prepared him for the way he felt when he met Emilie.

It was at a quaint café on the Rue Cler, where Evan stopped to sip a coffee and collect his thoughts. She was sitting alone at a small table by the window, her dark hair tucked behind her ear as she sketched in a notebook. Their eyes met briefly as he passed by, but it wasn't until Evan caught sight of her smile that he felt his heart stumble.

He couldn't help but be drawn back to her. They struck up a conversation, exchanging hesitant bonjours and awkward smiles. But as they talked, their words flowed effortlessly, like they'd known each other for years.

Emilie, a local artist, took Evan under her wing, showing him hidden corners of the city he never would've found on his own. As sunset cast its golden glow over Montmartre, they laughed together atop a hill overlooking the glittering lights of the Eiffel Tower. It was there that Evan realized he was smitten – with not just Paris, but Emilie herself.

As the stars began to twinkle above, Emilie's hand brushed against his, bringing warmth down his spine.",2,A,A,A,DiffOracle,str,WordMutator,False,2,2
5,"Evan had always been drawn to the romance of Paris. As a photographer, he had traveled to the City of Light several times before, but this trip was different. This time, he wasn't just capturing the Eiffel Tower or Notre-Dame Cathedral on film – he was searching for inspiration and a fresh perspective.

It was on his third day, sipping coffee at a charming café on Rue Cler, that he saw her. Emilie, with her bright blue eyes and effortless chic, walked in and stole his breath. She ordered a croissant and smiled at him, and Evan felt like he'd been punched in the chest.

For days, they bumped into each other around Montmartre, exchanging pleasantries and learning about each other's lives. Evan discovered Emilie was an artist, painting vibrant scenes of the city she loved. As they strolled along the Seine, watching street performers and musicians, their conversations flowed effortlessly.

One evening, as they sat together on a riverbank, watching the stars twinkle over the water, Evan knew he was smitten. Emilie laughed at his bad French pronunciation, and he couldn't resist asking if she'd join him for dinner the following evening.

Their dinner date turned into a midnight stroll, hand-in-hand through the Luxembourg Gardens.",2,B,B,B,DiffOracle,str,WordMutator,False,2,2
6,"Evan had always been drawn to the romance of Paris. He spent his days wandering the winding streets, soaking up the history and charm of the city. But nothing could have prepared him for the way he felt when he met Emilie.

It was at a quaint café on the Rue Cler, where Evan stopped to sip a coffee and collect his thoughts. She was sitting alone at a small table by the window, her dark hair tucked behind her ear as she sketched in a notebook. Their eyes met briefly as he passed by, but it wasn't until Evan caught sight of her smile that he felt his heart stumble.

He couldn't help but be drawn back to her. They struck up a conversation, exchanging hesitant bonjours and awkward smiles. But as they talked, their words flowed effortlessly, like they'd known each other many years.

Emilie, a local artist, took Evan under her wing, showing him hidden corners of the city he never would've found on his own. As sunset cast its golden glow over Montmartre, they laughed together atop a hill overlooking the glittering lights of the Eiffel Tower. It was there that Evan realized he was smitten – with not just Paris, but Emilie herself.

As the stars began to twinkle above, Emilie's hand brushed against his, bringing warmth down his spine.",3,A,A,A,DiffOracle,str,WordMutator,False,2,2
7,"Evan had always been drawn to the romance of Paris. As a photographer, he had traveled to the City of Light several times before, but this trip was different. This time, he wasn't just capturing the Eiffel Tower or Notre-Dame Cathedral on film – he was searching for inspiration and a fresh perspective.

It was on his third day, sipping coffee at a charming café on Rue Cler, that he saw her. Emilie, with her bright blue eyes and effortless chic, walked in and stole his breath. She ordered a croissant and smiled at him, and Evan felt like he'd been punched in the chest.

For days, they bumped into each other around Montmartre, exchanging pleasantries and learning about each other's lives. Evan discovered Emilie was an artist, painting vibrant scenes of the city she loved. As they strolled along the Seine, watching street performers and musicians, their conversations flowed effortlessly.

One evening, as they sat together on a riverbank, watching the stars twinkle over the water, Evan knew he was smitten. Emilie laughed at his bad French pronunciation, but he couldn't resist asking if she'd join him for dinner the following evening.

Their dinner date turned into a midnight stroll, hand-in-hand through the Luxembourg Gardens.",3,B,B,B,DiffOracle,str,WordMutator,False,2,2
8,"Evan had always been drawn to the romance of Paris. He spent his days wandering the winding streets, soaking up the history and charm of the city. But nothing could have prepared him for the way he felt when he met Emilie.

It was at a quaint café on the Rue Cler, where Evan stopped to sip a coffee and collect his thoughts. She was sitting alone at a small table by the window, her dark hair tucked behind her ear as she sketched in a notebook. Their eyes met briefly as he passed by, but it wasn't until Evan caught sight of her smile that he felt his heart stumble.

He couldn't help but be drawn back to her. They struck up a conversation, exchanging hesitant bonjours and awkward smiles. But as they talked, their words flowed effortlessly, like they'd known each other many years.

Emilie, a local artist, took Evan under her wing, showing him hidden corners of the city he never would've found on his own. As sunset cast its golden glow over Montmartre, they laughed together atop a hill overlooking the glittering lights of the Eiffel Tower. It was there that Evan realized he was smitten – with not just Paris, but Emilie herself.

As the stars started to twinkle above, Emilie's hand brushed against his, bringing warmth down his spine.",4,A,A,A,DiffOracle,str,WordMutator,False,2,2
9,"Evan had always been drawn to the romance of Paris. As a photographer, he had traveled to the City of Light several times before, but this trip was different. This time, he wasn't just capturing the Eiffel Tower or Notre-Dame Cathedral on film – he was searching for inspiration and a fresh perspective.

It was on his third day, sipping coffee at a charming café on Rue Cler, that he saw her. Emilie, with her bright blue eyes and effortless chic, walked in and stole his breath. She ordered a croissant and smiled at him, and Evan felt like he'd been punched in the chest.

For days, they bumped into each other around Montmartre, exchanging pleasantries and learning about each other's lives. Evan discovered Emilie was an artist, painting vibrant scenes of the city she loved. As they strolled along the streets, watching street performers and musicians, their conversations flowed effortlessly.

One evening, as they sat together on a riverbank, watching the stars twinkle over the water, Evan knew he was smitten. Emilie laughed at his bad French pronunciation, but he couldn't resist asking if she'd join him for dinner the following evening.

Their dinner date turned into a midnight stroll, hand-in-hand through the Luxembourg Gardens.",4,B,B,B,DiffOracle,str,WordMutator,False,2,2
0,"As Evan wandered through the charming streets of Montmartre, he stumbled upon a quaint little café that caught his eye. The aroma of freshly brewed coffee wafted out into the crisp morning air, drawing him in like a magnet. He pushed open the door and was immediately greeted by a warm smile from behind the counter. That's when he saw her - Emilie, with piercing green eyes and a mop of curly brown hair.

For several days, Evan returned to the café, ordering a café au lait and striking up conversations with Emilie. She was kind, witty, and spoke perfect English, making it easy for Evan to feel at ease. As they chatted, he discovered their shared love of art, music, and French cinema. With each visit, their conversations grew longer, and Evan felt himself falling under Emilie's spell.

One afternoon, as he sat sipping his coffee, Emilie surprised him with a sketchbook and pencils. ""I drew this while you were exploring,"" she said, revealing a beautiful caricature of him amidst the Eiffel Tower. Evan was smitten. As he thanked her, their hands touched, sending shivers down his spine. From that moment on, Evan knew he had to spend more time with Emilie.",0,A,A,A,DiffOracle,str,WordMutator,False,3,3
